UniProt_ID,PDB_ID,chain_id,chain_length,score,coverageChain,coverageUniProt,identity,pass_filter
Q5NUL3,8H4K,N,128,29,1,0.354570637,0.113924051,FALSE
Q5NUL3,8H4K,R,300,1497.5,1,0.831024931,0.996666667,TRUE
Q5NUL3,8H4L,A,234,37.5,1,0.648199446,0.223140496,FALSE
Q5NUL3,8H4L,B,338,33.5,1,0.936288089,0.201438849,FALSE
Q5NUL3,8H4L,G,57,32,1,0.157894737,0.255813953,FALSE
Q5NUL3,8H4L,N,128,29,1,0.354570637,0.113924051,FALSE
Q5NUL3,8H4L,R,303,1527,1,0.83933518,0.99669967,TRUE
Q5NUL3,8ID3,B,339,33.5,1,0.939058172,0.2,FALSE
Q5NUL3,8ID3,S,229,36,1,0.63434903,0.096153846,FALSE
Q5NUL3,8ID3,Y,57,32,1,0.157894737,0.255813953,FALSE
Q5NUL3,8ID3,A,225,44,1,0.623268698,0.217054264,FALSE
Q5NUL3,8ID3,R,292,1439.5,1,0.808864266,0.996575342,TRUE
Q5NUL3,8ID4,R,287,1391,1,0.79501385,0.993031359,TRUE
Q5NUL3,8ID4,A,225,44,1,0.623268698,0.217054264,FALSE
Q5NUL3,8ID4,B,339,33.5,1,0.939058172,0.2,FALSE
Q5NUL3,8ID4,Y,55,32,1,0.152354571,0.268292683,FALSE
Q5NUL3,8ID4,S,230,36,1,0.637119114,0.095541401,FALSE
Q5NUL3,8ID6,R,291,1425,1,0.806094183,0.996563574,TRUE
Q5NUL3,8ID6,A,225,44,1,0.623268698,0.217054264,FALSE
Q5NUL3,8ID6,B,338,33.5,1,0.936288089,0.201438849,FALSE
Q5NUL3,8ID6,Y,56,32,1,0.155124654,0.261904762,FALSE
Q5NUL3,8ID6,S,230,36,1,0.637119114,0.095541401,FALSE
Q5NUL3,8ID8,A,225,44,1,0.623268698,0.217054264,FALSE
Q5NUL3,8ID8,B,337,33.5,1,0.933518006,0.257142857,FALSE
Q5NUL3,8ID8,R,292,1431.5,1,0.808864266,0.996575342,TRUE
Q5NUL3,8ID8,S,228,36,1,0.631578947,0.096774194,FALSE
Q5NUL3,8ID8,Y,56,32,1,0.155124654,0.261904762,FALSE
Q5NUL3,8ID9,B,334,33.5,1,0.925207756,0.207407407,FALSE
Q5NUL3,8ID9,Y,55,32,1,0.152354571,0.268292683,FALSE
Q5NUL3,8ID9,S,227,36,1,0.628808864,0.090322581,FALSE
Q5NUL3,8ID9,A,197,40.5,1,0.545706371,0.149606299,FALSE
Q5NUL3,8ID9,R,283,1361,1,0.783933518,0.996466431,TRUE
Q5NUL3,8IYS,A,356,41,1,0.986149584,0.080851064,FALSE
Q5NUL3,8IYS,B,332,33.5,1,0.91966759,0.210526316,FALSE
Q5NUL3,8IYS,E,231,36,1,0.639889197,0.108974359,FALSE
Q5NUL3,8IYS,G,55,32,1,0.152354571,0.268292683,FALSE
Q5NUL3,8IYS,R,297,1481.5,1,0.822714681,0.996632997,TRUE
Q5NUL3,8T3O,R,300,1479,1,0.831024931,0.99,TRUE
Q5NUL3,8T3O,B,342,33.5,1,0.947368421,0.2,FALSE
Q5NUL3,8T3O,G,57,32,1,0.157894737,0.255813953,FALSE
Q5NUL3,8T3O,A,230,36,1,0.637119114,0.104347826,FALSE
Q5NUL3,8T3O,N,232,36,1,0.64265928,0.108280255,FALSE
Q5NUL3,8T3Q,A,230,36,1,0.637119114,0.104347826,FALSE
Q5NUL3,8T3Q,B,342,33.5,1,0.947368421,0.2,FALSE
Q5NUL3,8T3Q,N,232,36,1,0.64265928,0.108280255,FALSE
Q5NUL3,8T3Q,G,57,32,1,0.157894737,0.255813953,FALSE
Q5NUL3,8T3Q,R,299,1484,1,0.828254848,0.996655518,TRUE
P49019,8IHJ,R,284,1505,1,0.733850129,0.996478873,TRUE
P49019,8IHJ,A,218,45.5,1,0.563307494,0.160194175,FALSE
P49019,8IHJ,S,226,37,1,0.583979328,0.122065728,FALSE
P49019,8IHJ,B,339,40,1,0.875968992,0.114285714,FALSE
P49019,8IHJ,C,56,19,1,0.144702842,0.092592593,FALSE
P49019,8IHK,R,284,1505,1,0.733850129,0.996478873,TRUE
O14843,8J20,A,340,30,1,0.98265896,0.070110701,FALSE
O14843,8J20,B,231,41,1,0.667630058,0.107594937,FALSE
O14843,8J20,C,223,29,1,0.644508671,0.14507772,FALSE
O14843,8J20,D,276,1323.5,1,0.797687861,0.923913043,TRUE
O14843,8J20,E,57,23,1,0.164739884,0.087719298,FALSE
O14843,8J21,A,340,30,1,0.98265896,0.070110701,FALSE
O14843,8J21,B,231,41,1,0.667630058,0.107594937,FALSE
O14843,8J21,C,223,29,1,0.644508671,0.14507772,FALSE
O14843,8J21,D,275,1323.5,1,0.794797688,0.927272727,TRUE
O14843,8J21,E,57,23,1,0.164739884,0.087719298,FALSE
Q99679,8HIX,A,239,26.5,1,0.684813754,0.107954545,FALSE
Q99679,8HIX,B,338,59,1,0.968481375,0.158798283,FALSE
Q99679,8HIX,G,57,26,1,0.163323782,0.105263158,FALSE
Q99679,8HIX,N,126,30.5,1,0.361031519,0.288888889,FALSE
Q99679,8HIX,R,283,1452,1,0.810888252,0.982332155,TRUE
Q99679,8HJ0,A,239,26.5,1,0.684813754,0.107954545,FALSE
Q99679,8HJ0,B,338,59,1,0.968481375,0.158798283,FALSE
Q99679,8HJ0,G,57,26,1,0.163323782,0.105263158,FALSE
Q99679,8HJ0,N,126,30.5,1,0.361031519,0.288888889,FALSE
Q99679,8HJ0,R,283,1452,1,0.810888252,0.982332155,TRUE
Q99679,8HJ1,A,239,26.5,1,0.684813754,0.107954545,FALSE
Q99679,8HJ1,B,338,59,1,0.968481375,0.158798283,FALSE
Q99679,8HJ1,G,57,26,1,0.163323782,0.105263158,FALSE
Q99679,8HJ1,N,126,30.5,1,0.361031519,0.288888889,FALSE
Q99679,8HJ1,R,283,1483.5,1,0.810888252,1,TRUE
Q99679,8HJ2,B,334,59,1,0.957020057,0.161572052,FALSE
Q99679,8HJ2,G,46,26,1,0.131805158,0.130434783,FALSE
Q99679,8HJ2,N,126,30.5,1,0.361031519,0.288888889,FALSE
Q99679,8HJ2,R,282,1478.5,1,0.808022923,1,TRUE
Q99679,8HJ2,A,239,26.5,1,0.684813754,0.107954545,FALSE
Q99679,8HMV,A,274,1434,1,0.785100287,1,TRUE
Q99679,8HMV,C,227,27.5,1,0.650429799,0.089552239,FALSE
Q99679,8HMV,B,338,59,1,0.968481375,0.158798283,FALSE
Q99679,8HMV,G,57,26,1,0.163323782,0.105263158,FALSE
Q99679,8HMV,N,126,30.5,1,0.361031519,0.288888889,FALSE
Q9HBW0,4P0C,A,232,28,1,0.666666667,0.125,FALSE
P47775,7Y3G,A,220,29.5,1,0.658682635,0.168539326,FALSE
P47775,7Y3G,B,338,36.5,1,1.011976048,0.12962963,FALSE
P47775,7Y3G,G,57,25.5,1,0.170658683,0.239130435,FALSE
P47775,7Y3G,N,126,32,1,0.377245509,0.142857143,FALSE
P47775,7Y3G,R,260,1317.5,1,0.778443114,1,TRUE
Q6DWJ6,7VUG,A,218,43,1,0.617563739,0.0657277,FALSE
Q6DWJ6,7VUG,B,338,44.5,1,0.957507082,0.134615385,FALSE
Q6DWJ6,7VUG,C,57,25.5,1,0.161473088,0.163636364,FALSE
Q6DWJ6,7VUG,R,283,1468,1,0.801699717,0.992932862,TRUE
Q6DWJ6,7VUG,S,232,32,1,0.657223796,0.164705882,FALSE
Q6DWJ6,7VUH,A,239,46,1,0.677053824,0.128440367,FALSE
Q6DWJ6,7VUH,B,338,44.5,1,0.957507082,0.134615385,FALSE
Q6DWJ6,7VUH,G,57,25.5,1,0.161473088,0.163636364,FALSE
Q6DWJ6,7VUH,N,126,35.5,1,0.35694051,0.150793651,FALSE
Q6DWJ6,7VUH,R,283,1468,1,0.801699717,0.992932862,TRUE
Q6DWJ6,7VUI,A,236,46,1,0.668555241,0.131455399,FALSE
Q6DWJ6,7VUI,B,338,44.5,1,0.957507082,0.134615385,FALSE
Q6DWJ6,7VUI,G,57,25.5,1,0.161473088,0.163636364,FALSE
Q6DWJ6,7VUI,N,126,35.5,1,0.35694051,0.150793651,FALSE
Q6DWJ6,7VUI,R,280,1449,1,0.793201133,0.992857143,TRUE
Q6DWJ6,7VUJ,A,236,46,1,0.668555241,0.131455399,FALSE
Q6DWJ6,7VUJ,B,338,44.5,1,0.957507082,0.134615385,FALSE
Q6DWJ6,7VUJ,G,57,25.5,1,0.161473088,0.163636364,FALSE
Q6DWJ6,7VUJ,N,126,35.5,1,0.35694051,0.150793651,FALSE
Q6DWJ6,7VUJ,R,280,1449,1,0.793201133,0.992857143,TRUE
Q16570,4NUU,A,484,25,1,1.44047619,0.035714286,FALSE
Q16570,4NUU,B,549,25,1,1.633928571,0.041666667,FALSE
Q16570,4NUU,C,15,68,1,0.044642857,0.8,FALSE
Q16570,4NUV,A,313,25,1,0.931547619,0.034146341,FALSE
Q16570,4NUV,B,317,25,1,0.943452381,0.061032864,FALSE
Q16570,4NUV,C,12,68,1,0.035714286,1,FALSE
Q16570,4NUV,D,12,68,1,0.035714286,1,FALSE
Q16570,7P93,A,484,32,1,1.44047619,0.050595238,FALSE
Q16570,7P93,B,14,44,1,0.041666667,0.571428571,FALSE
Q16570,7P93,M,15,58,1,0.044642857,0.666666667,FALSE
Q16570,8A44,A,339,25,1,1.008928571,0.056521739,FALSE
Q16570,8A44,B,30,154,1,0.089285714,0.933333333,FALSE
Q16570,8A44,C,331,33.5,1,0.985119048,0.091803279,FALSE
Q16570,8A44,D,310,41.5,1,0.922619048,0.147982063,FALSE
Q8N6U8,8KH4,A,267,1368.5,1,0.504725898,0.996254682,FALSE
Q8N6U8,8KH4,B,228,35,1,0.43100189,0.125581395,FALSE
Q8N6U8,8KH4,C,336,50,1,0.635160681,0.184126984,FALSE
Q8N6U8,8KH4,E,127,31,1,0.240075614,0.12295082,FALSE
Q8N6U8,8KH4,D,44,32.5,1,0.083175803,0.363636364,FALSE
Q8N6U8,8SMV,R,269,1385,1,0.508506616,0.996282528,FALSE
Q8N6U8,8SMV,G,58,32.5,1,0.109640832,0.293103448,FALSE
Q8N6U8,8SMV,N,128,31,1,0.241965974,0.12195122,FALSE
Q8N6U8,8SMV,A,240,35,1,0.4536862,0.13215859,FALSE
Q8N6U8,8SMV,B,340,43,1,0.642722117,0.178683386,FALSE
Q9UPC5,8IYX,C,267,1343.5,1,0.700787402,0.996254682,TRUE
Q9UPC5,8IZ4,A,223,27.5,1,0.585301837,0.101522843,FALSE
Q9UPC5,8IZ4,B,342,32.5,1,0.897637795,0.078947368,FALSE
Q9UPC5,8IZ4,C,57,20.5,1,0.149606299,0.090909091,FALSE
Q9UPC5,8IZ4,E,231,32.5,1,0.606299213,0.065789474,FALSE
Q9UPC5,8IZ4,R,284,1438,1,0.745406824,0.98943662,TRUE
Q9UPC5,8K4N,A,217,34,1,0.569553806,0.105990783,FALSE
Q9UPC5,8K4N,B,336,32.5,1,0.881889764,0.077380952,FALSE
Q9UPC5,8K4N,C,53,20.5,1,0.139107612,0.098039216,FALSE
Q9UPC5,8K4N,E,232,32.5,1,0.608923885,0.074235808,FALSE
Q9UPC5,8K4N,D,280,1438,1,0.734908136,0.996428571,TRUE
Q9UPC5,8SAI,A,292,1495,1,0.766404199,0.996575342,TRUE
Q9UPC5,8SAI,C,57,20.5,1,0.149606299,0.090909091,FALSE
Q9UPC5,8SAI,D,227,26,1,0.595800525,0.079295154,FALSE
Q9UPC5,8SAI,E,340,32.5,1,0.892388451,0.076470588,FALSE
Q9UPC5,8SAI,S,232,32.5,1,0.608923885,0.074235808,FALSE
Q9UPC5,8WRB,A,223,27.5,1,0.585301837,0.101522843,FALSE
Q9UPC5,8WRB,B,342,32.5,1,0.897637795,0.078947368,FALSE
Q9UPC5,8WRB,C,57,20.5,1,0.149606299,0.090909091,FALSE
Q9UPC5,8WRB,E,231,32.5,1,0.606299213,0.065789474,FALSE
Q9UPC5,8WRB,R,284,1438,1,0.745406824,0.98943662,TRUE
Q9UPC5,8XBE,S,232,32.5,1,0.608923885,0.074235808,FALSE
Q9UPC5,8XBE,B,218,31,1,0.572178478,0.110091743,FALSE
Q9UPC5,8XBE,C,336,32.5,1,0.881889764,0.077380952,FALSE
Q9UPC5,8XBE,D,53,20.5,1,0.139107612,0.098039216,FALSE
Q9UPC5,8XBE,A,299,1538,1,0.784776903,0.996655518,TRUE
Q9UPC5,8XBG,A,299,1538,1,0.784776903,0.996655518,TRUE
Q9UPC5,8XBH,A,218,31,1,0.572178478,0.110091743,FALSE
Q9UPC5,8XBH,B,336,32.5,1,0.881889764,0.077380952,FALSE
Q9UPC5,8XBH,G,53,20.5,1,0.139107612,0.098039216,FALSE
Q9UPC5,8XBH,R,299,1538,1,0.784776903,0.996655518,TRUE
Q9UPC5,8XBH,S,232,32.5,1,0.608923885,0.074235808,FALSE
Q9UPC5,8XBI,R,299,1538,1,0.784776903,0.996655518,TRUE
Q9H255,8F76,A,303,1543,1,0.946875,0.99669967,TRUE
Q9H255,8F76,N,126,23,1,0.39375,0.090909091,FALSE
Q9H255,8F76,X,216,31,1,0.675,0.081632653,FALSE
Q9H255,8F76,Y,338,38.5,1,1.05625,0.132450331,FALSE
Q9H255,8F76,Z,56,20,1,0.175,0.107142857,FALSE
Q99678,8HS2,B,218,42,1,0.608938547,0.292682927,FALSE
Q99678,8HS2,C,211,26.5,1,0.589385475,0.088235294,FALSE
Q99678,8HS2,R,287,1498,1,0.801675978,0.989547038,TRUE
Q99678,8HS3,A,218,33,1,0.608938547,0.119266055,FALSE
Q99678,8HS3,B,338,41.5,1,0.944134078,0.237885463,FALSE
Q99678,8HS3,C,57,20,1,0.159217877,0.070175439,FALSE
Q99678,8HS3,R,279,1458,1,0.779329609,1,TRUE
Q99678,8HS3,S,232,33,1,0.648044693,0.14,FALSE
Q99678,8HSC,E,105,26.5,1,0.293296089,0.104761905,FALSE
Q99678,8HSC,A,218,33,1,0.608938547,0.119266055,FALSE
Q99678,8HSC,B,338,41.5,1,0.944134078,0.237885463,FALSE
Q99678,8HSC,C,57,20,1,0.159217877,0.070175439,FALSE
Q99678,8HSC,F,122,35,1,0.340782123,0.090163934,FALSE
Q99678,8HSC,R,273,1415,1,0.762569832,1,TRUE
Q99678,8HSC,S,232,33,1,0.648044693,0.14,FALSE
P46089,8U8F,A,231,23.5,1,0.7,0.082251082,FALSE
P46089,8U8F,B,337,42.5,1,1.021212121,0.129277567,FALSE
P46089,8U8F,G,56,31.5,1,0.16969697,0.222222222,FALSE
P46089,8U8F,R,266,1350.5,1,0.806060606,0.996240602,TRUE
P46089,8WW2,A,229,25.5,1,0.693939394,0.118181818,FALSE
P46089,8WW2,B,340,42.5,1,1.03030303,0.128301887,FALSE
P46089,8WW2,G,55,31.5,1,0.166666667,0.226415094,FALSE
P46089,8WW2,N,128,32.5,1,0.387878788,0.1171875,FALSE
P46089,8WW2,R,273,1367,1,0.827272727,0.981684982,TRUE
P46089,8X2K,A,263,1318,1,0.796969697,0.988593156,TRUE
P46089,8X2K,B,218,37.5,1,0.660606061,0.155339806,FALSE
P46089,8X2K,C,339,42.5,1,1.027272727,0.129277567,FALSE
P46089,8X2K,D,58,31.5,1,0.175757576,0.214285714,FALSE
P46089,8X2K,E,236,38.5,1,0.715151515,0.300884956,FALSE
Q96P66,8W8Q,C,287,1402.5,1,0.56496063,1,FALSE
Q96P66,8W8Q,A,232,49,1,0.456692913,0.267080745,FALSE
Q96P66,8W8Q,B,339,44.5,1,0.667322835,0.139751553,FALSE
Q96P66,8W8Q,G,58,39.5,1,0.114173228,0.25862069,FALSE
Q96P66,8W8Q,N,128,42.5,1,0.251968504,0.20754717,FALSE
Q96P66,8W8R,A,236,45,1,0.464566929,0.252808989,FALSE
Q96P66,8W8R,B,335,44.5,1,0.659448819,0.141509434,FALSE
Q96P66,8W8R,R,282,1359.5,1,0.55511811,0.992907801,FALSE
Q96P66,8W8R,S,233,41.5,1,0.458661417,0.107623318,FALSE
Q96P66,8W8R,Y,58,39.5,1,0.114173228,0.25862069,FALSE
Q96P66,8W8S,R,283,1363.5,1,0.557086614,0.992932862,FALSE
P49238,7XBW,C,216,31,1,0.608450704,0.097402597,FALSE
P49238,7XBW,D,329,33.5,1,0.926760563,0.087962963,FALSE
P49238,7XBW,E,53,24,1,0.149295775,0.056603774,FALSE
P49238,7XBW,R,291,1480,1,0.81971831,0.979381443,TRUE
P49238,7XBX,C,216,31,1,0.608450704,0.097402597,FALSE
P49238,7XBX,D,311,33.5,1,0.876056338,0.087962963,FALSE
P49238,7XBX,E,33,24,1,0.092957746,0.090909091,FALSE
P49238,7XBX,R,351,1474,1,0.988732394,0.919354839,TRUE
Q9GZQ4,7W55,A,232,52,1,0.559036145,0.23943662,FALSE
Q9GZQ4,7W55,B,338,42,1,0.814457831,0.10915493,FALSE
Q9GZQ4,7W55,C,9,21,1,0.021686747,0.444444444,FALSE
Q9GZQ4,7W55,E,231,30,1,0.556626506,0.108247423,FALSE
Q9GZQ4,7W55,G,54,31,1,0.130120482,0.12962963,FALSE
Q9GZQ4,7W55,R,303,1557,1,0.730120482,1,TRUE
Q9GZQ4,7W57,A,229,50,1,0.551807229,0.241545894,FALSE
Q9GZQ4,7W57,B,336,42,1,0.809638554,0.10915493,FALSE
Q9GZQ4,7W57,C,12,21,1,0.028915663,0.333333333,FALSE
Q9GZQ4,7W57,E,232,30,1,0.559036145,0.108247423,FALSE
Q9GZQ4,7W57,G,53,33.5,1,0.127710843,0.196078431,FALSE
Q9GZQ4,7W57,R,297,1522.5,1,0.715662651,1,TRUE
Q9GZQ4,7XK8,P,26,23,1,0.062650602,0.230769231,FALSE
Q9GZQ4,7XK8,R,282,1447.5,1,0.679518072,1,FALSE
Q9GZQ4,7XK8,A,225,49.5,1,0.542168675,0.115555556,FALSE
Q9GZQ4,7XK8,B,338,42,1,0.814457831,0.10915493,FALSE
Q9GZQ4,7XK8,C,53,33.5,1,0.127710843,0.196078431,FALSE
P28566,7E33,A,217,32.5,1,0.594520548,0.091346154,FALSE
P28566,7E33,B,333,36,1,0.912328767,0.194444444,FALSE
P28566,7E33,E,229,33.5,1,0.62739726,0.164556962,FALSE
P28566,7E33,G,50,21,1,0.136986301,0.12,FALSE
P28566,7E33,R,258,1249,1,0.706849315,0.992248062,TRUE
P28566,8UGY,A,217,32.5,1,0.594520548,0.091346154,FALSE
P28566,8UGY,B,333,36,1,0.912328767,0.194444444,FALSE
P28566,8UGY,G,50,21,1,0.136986301,0.12,FALSE
P28566,8UGY,R,271,1298.5,1,0.742465753,0.970479705,TRUE
P28566,8UH3,B,333,36,1,0.912328767,0.194444444,FALSE
P28566,8UH3,A,218,34.5,1,0.597260274,0.145945946,FALSE
P28566,8UH3,D,274,1327,1,0.750684932,0.981684982,TRUE
P28566,8UH3,E,229,33.5,1,0.62739726,0.164556962,FALSE
P28566,8UH3,G,50,21,1,0.136986301,0.12,FALSE
Q96LB1,7S8L,R,250,1297,1,0.757575758,1,TRUE
Q96LB1,7S8L,A,6,18,1,0.018181818,0.5,FALSE
Q96LB1,7S8L,B,221,43.5,1,0.66969697,0.147619048,FALSE
Q96LB1,7S8L,C,337,36.5,1,1.021212121,0.154285714,FALSE
Q96LB1,7S8L,D,51,26,1,0.154545455,0.196078431,FALSE
Q96LB1,7S8L,E,231,39,1,0.7,0.222222222,FALSE
Q96LB1,7S8M,B,218,40.5,1,0.660606061,0.171875,FALSE
Q96LB1,7S8M,C,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7S8M,D,55,26,1,0.166666667,0.181818182,FALSE
Q96LB1,7S8M,E,232,36,1,0.703030303,0.231578947,FALSE
Q96LB1,7S8M,R,253,1324,1,0.766666667,1,TRUE
Q96LB1,7S8M,A,5,18,1,0.015151515,0.6,FALSE
Q96LB1,7S8N,B,221,43.5,1,0.66969697,0.147619048,FALSE
Q96LB1,7S8N,C,337,36.5,1,1.021212121,0.154285714,FALSE
Q96LB1,7S8N,D,51,26,1,0.154545455,0.196078431,FALSE
Q96LB1,7S8N,R,251,1297,1,0.760606061,0.996015936,TRUE
Q96LB1,7S8N,E,231,39,1,0.7,0.222222222,FALSE
Q96LB1,7S8O,R,258,1345.5,1,0.781818182,0.996124031,TRUE
Q96LB1,7S8O,B,218,40.5,1,0.660606061,0.171875,FALSE
Q96LB1,7S8O,C,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7S8O,D,55,26,1,0.166666667,0.181818182,FALSE
Q96LB1,7S8O,E,232,36,1,0.703030303,0.231578947,FALSE
Q96LB1,7VDH,R,269,1414,1,0.815151515,0.992565056,TRUE
Q96LB1,7VDH,A,218,49,1,0.660606061,0.165803109,FALSE
Q96LB1,7VDH,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VDH,G,55,26,1,0.166666667,0.181818182,FALSE
Q96LB1,7VDH,S,230,36,1,0.696969697,0.09,FALSE
Q96LB1,7VDL,A,215,44.5,1,0.651515152,0.167539267,FALSE
Q96LB1,7VDL,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VDL,C,55,26,1,0.166666667,0.181818182,FALSE
Q96LB1,7VDL,S,230,36,1,0.696969697,0.09,FALSE
Q96LB1,7VDL,R,257,1351,1,0.778787879,0.996108949,TRUE
Q96LB1,7VDL,L,5,18,1,0.015151515,0.6,FALSE
Q96LB1,7VDM,A,217,49,1,0.657575758,0.165803109,FALSE
Q96LB1,7VDM,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VDM,G,55,26,1,0.166666667,0.181818182,FALSE
Q96LB1,7VDM,S,229,36,1,0.693939394,0.09,FALSE
Q96LB1,7VDM,R,254,1336,1,0.76969697,0.996062992,TRUE
Q96LB1,7VDM,L,3,14,1,0.009090909,0.666666667,FALSE
Q96LB1,7VUY,R,259,1361,1,0.784848485,0.996138996,TRUE
Q96LB1,7VUY,A,226,38.5,1,0.684848485,0.165803109,FALSE
Q96LB1,7VUY,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VUY,G,56,26,1,0.16969697,0.178571429,FALSE
Q96LB1,7VUY,S,233,37,1,0.706060606,0.216494845,FALSE
Q96LB1,7VUZ,R,252,1325,1,0.763636364,0.996031746,TRUE
Q96LB1,7VUZ,A,218,40.5,1,0.660606061,0.172774869,FALSE
Q96LB1,7VUZ,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VUZ,G,56,26,1,0.16969697,0.178571429,FALSE
Q96LB1,7VUZ,S,233,37,1,0.706060606,0.216494845,FALSE
Q96LB1,7VV0,L,5,28,1,0.015151515,0.8,FALSE
Q96LB1,7VV0,R,264,1391,1,0.8,0.996212121,TRUE
Q96LB1,7VV3,A,218,49,1,0.660606061,0.165803109,FALSE
Q96LB1,7VV3,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VV3,G,55,26,1,0.166666667,0.181818182,FALSE
Q96LB1,7VV3,S,231,36,1,0.7,0.089552239,FALSE
Q96LB1,7VV3,R,263,1382,1,0.796969697,0.996197719,TRUE
Q96LB1,7VV4,R,264,1393,1,0.8,0.996212121,TRUE
Q96LB1,7VV4,L,6,18,1,0.018181818,0.5,FALSE
Q96LB1,7VV5,A,226,38.5,1,0.684848485,0.165803109,FALSE
Q96LB1,7VV5,B,339,36.5,1,1.027272727,0.154285714,FALSE
Q96LB1,7VV5,G,56,26,1,0.16969697,0.178571429,FALSE
Q96LB1,7VV5,S,233,37,1,0.706060606,0.216494845,FALSE
Q96LB1,7VV5,R,270,1418,1,0.818181818,0.992592593,TRUE
Q96LB1,7VV6,R,273,1433,1,0.827272727,0.992673993,TRUE
P07550,1GQ4,A,200,35.5,1,0.484261501,0.203125,FALSE
P07550,2R4R,A,216,1006.5,1,0.523002421,1,FALSE
P07550,2R4R,L,214,31.5,1,0.518159806,0.124378109,FALSE
P07550,2R4R,H,217,44,1,0.525423729,0.237410072,FALSE
P07550,2R4S,A,216,1006.5,1,0.523002421,1,FALSE
P07550,2R4S,L,214,31.5,1,0.518159806,0.124378109,FALSE
P07550,2R4S,H,217,44,1,0.525423729,0.237410072,FALSE
P07550,2RH1,A,505,1424,1,1.222760291,0.779840849,TRUE
P07550,2RH1,B,2,0,0,0,0,FALSE
P07550,3D4S,A,465,1401,1,1.12590799,0.860534125,TRUE
P07550,3KJ6,A,223,1039.5,1,0.539951574,0.995515695,FALSE
P07550,3KJ6,L,214,31.5,1,0.518159806,0.124378109,FALSE
P07550,3KJ6,H,217,44,1,0.525423729,0.237410072,FALSE
P07550,3NY8,A,468,1401,1,1.133171913,0.852941176,TRUE
P07550,3NY9,A,451,1401,1,1.092009685,0.897832817,TRUE
P07550,3NYA,A,449,1401,1,1.08716707,0.903426791,TRUE
P07550,3P0G,A,285,1450.5,1,0.690072639,0.989473684,FALSE
