ChEMBL ID,Name,UniProt Accessions,GO Terms,Type,Organism,Class,Target Class,Receptor Family
CHEMBL4523454,Olfactory receptor 51E2,Q9H255,GO:0003707; GO:0004930; GO:0004984; GO:0005886; GO:0007189; GO:0016477; GO:0030318; GO:0031901; GO:0038023; GO:0043229; GO:0043401; GO:0045777; GO:0071398; GO:0097325; GO:1900135,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Odorant family 51
CHEMBL2069161,Probable G-protein coupled receptor 142,Q7Z601,GO:0004930; GO:0005829; GO:0005886; GO:0007186; GO:0030054,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523859,"12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor",O00270,GO:0002237; GO:0002931; GO:0004930; GO:0005886; GO:0006629; GO:0007186; GO:0010447; GO:0045125; GO:0050544; GO:0050728; GO:0050778,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523861,Probable G-protein coupled receptor 75,O95800,GO:0004930; GO:0005886; GO:0007186; GO:0016493; GO:0070098,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523912,G-protein coupled receptor 20,Q99678,GO:0004930; GO:0005829; GO:0005886; GO:0007200; GO:0035025; GO:0043235,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523856,G-protein coupled receptor 3,P46089,GO:0004930; GO:0005737; GO:0005886; GO:0007189; GO:0019222; GO:0040020; GO:0043950; GO:0051480; GO:0120162,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523857,Mas-related G-protein coupled receptor MRG,P35410,GO:0001595; GO:0004930; GO:0005654; GO:0005829; GO:0005886; GO:0007186; GO:0016020,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523910,Trace amine-associated receptor 6,Q96RI8,GO:0001594; GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL5951,Neuropeptide FF receptor 1,Q9GZQ6,GO:0004930; GO:0005886; GO:0005929; GO:0007186; GO:0007218; GO:0008188; GO:0032870; GO:0042277,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuropeptide FF/neuropeptide AF receptors
CHEMBL4523906,Probable G-protein coupled receptor 101,Q96P66,GO:0004930; GO:0005886; GO:0043235; GO:0043410; GO:0071880,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523903,Mas-related G-protein coupled receptor member F,Q96AM1,GO:0004930; GO:0005886; GO:0007186; GO:0031965,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL1075322,G-protein coupled receptor 55,Q9Y2T6,GO:0004930; GO:0004949; GO:0005886; GO:0007186; GO:0007200; GO:0035025; GO:0045453; GO:0045671; GO:0070374,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),"GPR18, GPR55 and GPR119"
CHEMBL4356,Adrenomedullin receptor,O15218,GO:0004888; GO:0004930; GO:0005886; GO:0007166; GO:0016020,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4330,Cysteinyl leukotriene receptor 2,Q9NS75,GO:0001631; GO:0004974; GO:0005886; GO:0006955; GO:0007218; GO:0008528,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Leukotriene receptors
CHEMBL5994,C-X-C chemokine receptor type 6,O00574,GO:0004930; GO:0005886; GO:0006954; GO:0006955; GO:0007186; GO:0007204; GO:0009897; GO:0015026; GO:0016493; GO:0016494; GO:0019079; GO:0019722; GO:0019957; GO:0060326,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL4843,C-X3-C chemokine receptor 1,P49238,GO:0002052; GO:0002250; GO:0002282; GO:0002931; GO:0004930; GO:0004950; GO:0005886; GO:0006935; GO:0006955; GO:0006968; GO:0007155; GO:0007186; GO:0007200; GO:0007204; GO:0007267; GO:0007420; GO:0007613; GO:0008528; GO:0009611; GO:0009897; GO:0009986; GO:0016493; GO:0016495; GO:0019722; GO:0019957; GO:0019960; GO:0021626; GO:0030336; GO:0030595; GO:0031737; GO:0032680; GO:0032691; GO:0032809; GO:0035176; GO:0035425; GO:0043005; GO:0043123; GO:0045087; GO:0045428; GO:0045766; GO:0048167; GO:0048471; GO:0048874; GO:0050767; GO:0050769; GO:0050804; GO:0050901; GO:0051897; GO:0060074; GO:0060326; GO:0061760; GO:0071222; GO:0071356; GO:0071560; GO:0090026; GO:0097447; GO:0098883; GO:0110091; GO:0150090; GO:0160056; GO:1900272; GO:1903721; GO:1904139; GO:1904141; GO:1904150; GO:2001234,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL2731,Galanin receptor 3,O60755,GO:0004966; GO:0005886; GO:0005929; GO:0007187; GO:0007188; GO:0007218; GO:0007268; GO:0007611; GO:0007631; GO:0016020; GO:0017046; GO:0045202; GO:0045944; GO:0090663; GO:0097730,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Galanin receptors
CHEMBL1075144,Neuromedin-U receptor 2,Q9GZQ4,GO:0001607; GO:0002023; GO:0004930; GO:0005229; GO:0005525; GO:0005886; GO:0006940; GO:0007200; GO:0007218; GO:0007267; GO:0007417; GO:0007625; GO:0007631; GO:0008188; GO:0016020; GO:0042924; GO:0048265; GO:0050482; GO:0050850,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuromedin U receptors
CHEMBL4080,Bombesin receptor subtype-3,P32247,GO:0004946; GO:0005886; GO:0006006; GO:0007186; GO:0008188; GO:0008217; GO:0008343; GO:0016020,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Bombesin receptors
CHEMBL4523905,Mas-related G-protein coupled receptor member X3,Q96LB0,GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL2182,Serotonin 1e (5-HT1e) receptor,P28566,GO:0004930; GO:0004993; GO:0005886; GO:0007186; GO:0007187; GO:0007193; GO:0007198; GO:0007268; GO:0030425; GO:0030594; GO:0045202; GO:0051378,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors
CHEMBL5849,Mas-related G-protein coupled receptor member X2,Q96LB1,GO:0004930; GO:0005886; GO:0007186; GO:0016020; GO:0019233; GO:0030431; GO:0032467; GO:0042923; GO:0043303; GO:0045576; GO:1990595,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL2321628,C-C chemokine receptor type 10,P46092,GO:0004930; GO:0005783; GO:0005886; GO:0006955; GO:0007186; GO:0007204; GO:0009897; GO:0009986; GO:0016493; GO:0019722; GO:0019957; GO:0060326,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL210,Beta-2 adrenergic receptor,P07550,GO:0001540; GO:0002024; GO:0002025; GO:0002028; GO:0004941; GO:0005634; GO:0005764; GO:0005768; GO:0005769; GO:0005794; GO:0005886; GO:0006366; GO:0006898; GO:0006939; GO:0007166; GO:0007171; GO:0007188; GO:0008179; GO:0008333; GO:0009409; GO:0010008; GO:0010739; GO:0015459; GO:0016020; GO:0016324; GO:0030501; GO:0030669; GO:0031649; GO:0040015; GO:0042802; GO:0042803; GO:0043235; GO:0043410; GO:0044877; GO:0045453; GO:0045744; GO:0045944; GO:0045986; GO:0050873; GO:0051380; GO:0061885; GO:0071875; GO:0071880; GO:0071902; GO:0098992; GO:0120162; GO:1901098; GO:1904504; GO:1904646; GO:1990911; GO:2000481; GO:2000969,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Adrenoceptors
CHEMBL223,Alpha-1d adrenergic receptor,P25100,GO:0004937; GO:0005886; GO:0007186; GO:0007188; GO:0007200; GO:0007204; GO:0007267; GO:0008284; GO:0042802; GO:0043410; GO:0045907; GO:0071880; GO:0150099,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Adrenoceptors
CHEMBL1850,Dopamine D5 receptor,P21918,GO:0001588; GO:0001963; GO:0001975; GO:0001992; GO:0001994; GO:0004930; GO:0004952; GO:0005886; GO:0005929; GO:0006874; GO:0007189; GO:0007190; GO:0007191; GO:0007212; GO:0007268; GO:0008306; GO:0019226; GO:0031526; GO:0033861; GO:0035240; GO:0042060; GO:0042220; GO:0043410; GO:0045202; GO:0045762; GO:0045776; GO:0045924; GO:0046960; GO:0060158; GO:0060170; GO:0060292; GO:0071870; GO:0071880; GO:0072593; GO:0097730,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Dopamine receptors
CHEMBL1853,Somatostatin receptor 4,P31391,GO:0004994; GO:0005886; GO:0007186; GO:0007187; GO:0007218; GO:0008285; GO:0016477; GO:0030900; GO:0042923; GO:0043005; GO:0070374; GO:0071385; GO:0090238; GO:0106072,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Somatostatin receptors
CHEMBL2069,Thromboxane A2 receptor,P21731,GO:0001669; GO:0004961; GO:0005085; GO:0005886; GO:0006939; GO:0006954; GO:0007186; GO:0007189; GO:0007204; GO:0007584; GO:0009410; GO:0016607; GO:0030194; GO:0033574; GO:0045471; GO:0045766; GO:0045777; GO:0045907; GO:0045987; GO:0071222; GO:0090051,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Prostanoid receptors
CHEMBL1804,Somatostatin receptor 2,P30874,GO:0004994; GO:0005829; GO:0005886; GO:0007187; GO:0007193; GO:0007218; GO:0007283; GO:0008285; GO:0021549; GO:0030165; GO:0030432; GO:0030900; GO:0042594; GO:0042923; GO:0043005; GO:0071385; GO:0071392,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Somatostatin receptors
CHEMBL3714079,G-protein coupled receptor 84,Q9NQS5,GO:0001604; GO:0005886; GO:0007218; GO:0035579; GO:0043235; GO:0070821,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL2413,C-C chemokine receptor type 1,P32246,GO:0002407; GO:0002548; GO:0004435; GO:0004950; GO:0005737; GO:0005886; GO:0006816; GO:0006874; GO:0006887; GO:0006935; GO:0006954; GO:0006955; GO:0007155; GO:0007166; GO:0007187; GO:0007204; GO:0007267; GO:0009611; GO:0009897; GO:0010629; GO:0016493; GO:0019221; GO:0019722; GO:0019957; GO:0030335; GO:0030502; GO:0035717; GO:0045672; GO:0051928; GO:0060326; GO:0070098; GO:0070374; GO:0071791; GO:0090026,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL4427,Prostanoid DP receptor,Q13258,GO:0001785; GO:0004956; GO:0005886; GO:0006954; GO:0007186; GO:0007204; GO:0016020; GO:0030238; GO:0030431; GO:0043303; GO:0046085; GO:0071799,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Prostanoid receptors
CHEMBL1916,Alpha-2c adrenergic receptor,P18825,GO:0004938; GO:0005085; GO:0005737; GO:0005768; GO:0005886; GO:0006940; GO:0007186; GO:0007267; GO:0010700; GO:0019229; GO:0030168; GO:0031694; GO:0032148; GO:0032811; GO:0035624; GO:0042803; GO:0043410; GO:0045666; GO:0046676; GO:0046982; GO:0051379; GO:0071875; GO:0071880,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Adrenoceptors
CHEMBL1836,Prostanoid EP4 receptor,P35408,GO:0001818; GO:0001819; GO:0004957; GO:0005886; GO:0006954; GO:0006955; GO:0007188; GO:0007189; GO:0007204; GO:0007254; GO:0009612; GO:0009624; GO:0016020; GO:0030278; GO:0032496; GO:0033624; GO:0042093; GO:0050728; GO:0050729; GO:0051492; GO:0060348; GO:0070371; GO:0071260; GO:0071380; GO:2000420,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Prostanoid receptors
CHEMBL1792,Somatostatin receptor 5,P35346,GO:0004994; GO:0005886; GO:0007186; GO:0007187; GO:0007218; GO:0008285; GO:0032467; GO:0042923; GO:0043005; GO:0050796; GO:0071385,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Somatostatin receptors
CHEMBL2028,Somatostatin receptor 3,P32745,GO:0004930; GO:0004994; GO:0005102; GO:0005886; GO:0005929; GO:0007187; GO:0007218; GO:0007267; GO:0007283; GO:0008285; GO:0008628; GO:0021549; GO:0030900; GO:0042594; GO:0042923; GO:0043005; GO:0060170; GO:0071385; GO:0071392; GO:0097730,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Somatostatin receptors
CHEMBL1917,Somatostatin receptor 1,P30872,GO:0004994; GO:0005886; GO:0007187; GO:0007215; GO:0007218; GO:0007283; GO:0008285; GO:0021549; GO:0030900; GO:0042594; GO:0042923; GO:0043005; GO:0071392; GO:1990830,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Somatostatin receptors
CHEMBL4894,Galanin receptor 1,P47211,GO:0004966; GO:0005886; GO:0007189; GO:0007194; GO:0007204; GO:0007218; GO:0008528; GO:0016020; GO:0017046; GO:0042923; GO:0045944; GO:0051464,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Galanin receptors
CHEMBL3157,Bradykinin B2 receptor,P30411,GO:0002020; GO:0004435; GO:0004947; GO:0005768; GO:0005794; GO:0005886; GO:0006939; GO:0006954; GO:0007166; GO:0007169; GO:0007186; GO:0007204; GO:0008015; GO:0009651; GO:0019229; GO:0031702; GO:0033137; GO:0042310; GO:0042311; GO:0043114; GO:0043231; GO:0046982; GO:0050482; GO:1902239; GO:1990127,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Bradykinin receptors
CHEMBL3371,Serotonin 6 (5-HT6) receptor,P50406,GO:0004969; GO:0004993; GO:0005886; GO:0005929; GO:0007187; GO:0007188; GO:0007268; GO:0021795; GO:0030425; GO:0030594; GO:0032008; GO:0045202,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors
CHEMBL5963,Proteinase-activated receptor 2,P55085,GO:0001965; GO:0002020; GO:0002286; GO:0002690; GO:0002720; GO:0003104; GO:0004930; GO:0005102; GO:0005769; GO:0005794; GO:0005886; GO:0006954; GO:0007186; GO:0007200; GO:0007204; GO:0007596; GO:0010804; GO:0015057; GO:0030193; GO:0030335; GO:0030836; GO:0031143; GO:0031274; GO:0031681; GO:0032682; GO:0032722; GO:0032729; GO:0032731; GO:0032733; GO:0032755; GO:0032757; GO:0032930; GO:0034137; GO:0034140; GO:0034141; GO:0034145; GO:0035025; GO:0038023; GO:0042119; GO:0042311; GO:0043122; GO:0043123; GO:0043311; GO:0043547; GO:0045087; GO:0045217; GO:0045944; GO:0046328; GO:0046329; GO:0046330; GO:0046676; GO:0050900; GO:0050921; GO:0050927; GO:0051607; GO:0051897; GO:0060100; GO:0061028; GO:0070374; GO:0070661; GO:0070963; GO:0097029; GO:0099109; GO:1900135; GO:2000341,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Proteinase-activated receptors
CHEMBL1854,Luteinizing hormone/Choriogonadotropin receptor,P22888,GO:0001541; GO:0004964; GO:0005615; GO:0005768; GO:0005886; GO:0006622; GO:0007186; GO:0007187; GO:0007189; GO:0007190; GO:0007200; GO:0007283; GO:0008528; GO:0008584; GO:0009410; GO:0009755; GO:0010524; GO:0017046; GO:0022602; GO:0030539; GO:0032962; GO:0034451; GO:0035472; GO:0038106; GO:0042700; GO:0042802; GO:0043235; GO:0046544; GO:0046886; GO:0050482; GO:0050850; GO:0050890; GO:0051117; GO:0051281; GO:0060065; GO:0071371; GO:0071373; GO:0072520; GO:0090030,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Glycoprotein hormone receptors
CHEMBL2014,Nociceptin receptor,P41146,GO:0001626; GO:0004930; GO:0005886; GO:0007193; GO:0007200; GO:0007218; GO:0007600; GO:0019233; GO:0019722; GO:0031410; GO:0032355; GO:0035810; GO:0042755; GO:0042923; GO:0043005; GO:0043951; GO:0044849; GO:0045776; GO:0106072; GO:1904059; GO:1990708,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Opioid receptors
CHEMBL4523898,Probable G-protein coupled receptor 150,Q8NGU9,GO:0004930; GO:0005886; GO:0007186; GO:0032870; GO:0042277,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523895,G-protein coupled receptor 26,Q8NDV2,GO:0004930; GO:0005886; GO:0007189,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL5952,Neuropeptide FF receptor 2,Q9Y5X5,GO:0004930; GO:0005886; GO:0007186; GO:0008188; GO:0009582; GO:0015629; GO:0031628; GO:0032870; GO:0042277; GO:0043408,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuropeptide FF/neuropeptide AF receptors
CHEMBL3359,Formyl peptide receptor 1,P21462,GO:0001664; GO:0002430; GO:0004875; GO:0004930; GO:0004982; GO:0005124; GO:0005737; GO:0005886; GO:0006935; GO:0006954; GO:0007165; GO:0007186; GO:0007188; GO:0007200; GO:0007204; GO:0007263; GO:0016020; GO:0030667; GO:0035577; GO:0050786; GO:0101003,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Formylpeptide receptors
CHEMBL2955,Sphingosine 1-phosphate receptor Edg-5,O95136,GO:0001664; GO:0003376; GO:0004930; GO:0005178; GO:0005737; GO:0005886; GO:0007186; GO:0007189; GO:0008284; GO:0008289; GO:0008528; GO:0010800; GO:0019222; GO:0030036; GO:0038036; GO:0046847; GO:0060079; GO:0090394; GO:0098794; GO:1903142,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Lysophospholipid (S1P) receptors
